Lookup,Yr,Org4Code,DistName,Expr1,FTEPupils,Value(FTEPupils)
00002016FTEIn,2016,0000,State,FTEIn,"908,996.2","908,996.2"
00002016FTEOut,2016,0000,State,FTEOut,"73,250.6","73,250.6"
00002016FTEs,2016,0000,State,FTEs,"982,246.8","982,246.8"
00012016FTEIn,2016,0001,Abington,FTEIn,"1,919.1","1,919.1"
00012016FTEOut,2016,0001,Abington,FTEOut,108.9,108.9
00012016FTEs,2016,0001,Abington,FTEs,"2,028.0","2,028.0"
00032016FTEIn,2016,0003,Acushnet,FTEIn,966.7,966.7
00032016FTEOut,2016,0003,Acushnet,FTEOut,329.2,329.2
00032016FTEs,2016,0003,Acushnet,FTEs,"1,295.9","1,295.9"
00052016FTEIn,2016,0005,Agawam,FTEIn,"3,877.2","3,877.2"
00052016FTEOut,2016,0005,Agawam,FTEOut,119.4,119.4
00052016FTEs,2016,0005,Agawam,FTEs,"3,996.6","3,996.6"
00072016FTEIn,2016,0007,Amesbury,FTEIn,"2,208.4","2,208.4"
00072016FTEOut,2016,0007,Amesbury,FTEOut,158.0,158.0
00072016FTEs,2016,0007,Amesbury,FTEs,"2,366.4","2,366.4"
00082016FTEIn,2016,0008,Amherst,FTEIn,"1,154.4","1,154.4"
00082016FTEOut,2016,0008,Amherst,FTEOut,113.1,113.1
00082016FTEs,2016,0008,Amherst,FTEs,"1,267.5","1,267.5"
00092016FTEIn,2016,0009,Andover,FTEIn,"6,104.6","6,104.6"
00092016FTEOut,2016,0009,Andover,FTEOut,122.2,122.2
00092016FTEs,2016,0009,Andover,FTEs,"6,226.8","6,226.8"
00102016FTEIn,2016,0010,Arlington,FTEIn,"5,330.1","5,330.1"
00102016FTEOut,2016,0010,Arlington,FTEOut,142.8,142.8
00102016FTEs,2016,0010,Arlington,FTEs,"5,472.9","5,472.9"
00142016FTEIn,2016,0014,Ashland,FTEIn,"2,698.5","2,698.5"
00142016FTEOut,2016,0014,Ashland,FTEOut,127.3,127.3
00142016FTEs,2016,0014,Ashland,FTEs,"2,825.8","2,825.8"
00162016FTEIn,2016,0016,Attleboro,FTEIn,"5,757.4","5,757.4"
00162016FTEOut,2016,0016,Attleboro,FTEOut,430.5,430.5
00162016FTEs,2016,0016,Attleboro,FTEs,"6,187.9","6,187.9"
00172016FTEIn,2016,0017,Auburn,FTEIn,"2,419.5","2,419.5"
00172016FTEOut,2016,0017,Auburn,FTEOut,50.2,50.2
